Facility PK,FacilityName,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zipcode,Latitude,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
52681917,Brooklyn Defender Services Community Office,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Legal Service,"566 Livonia Avenue,N/A",,Brooklyn,11207,40.664392276119,-73.896348215762,6469712722,Free legal services in addition to free condoms and lubricant! <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,true,true,true,,,305,42,113000,3418179,3038207501,BK85
52682146,NYC Neighborhood Health Action Center,Free Safer Sex Products,Condoms and Lubricant,,Government,Government Agency,485 Throop Avenue,,Brooklyn,11221,40.685646815839,-73.941461785595,,You can find free safer sex products inside a dispenser/fishbowl located in the hallway of the Government Building. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,true,true,true,,,303,36,27700,3051782,3018260001,BK35
52681898,Boiler Room,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,86 East 4 Street,,Manhattan,10003,40.72602309107,-73.989075361404,718-610-2870,You can find free safer sex products inside a fishbowl located in the lounge near window of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,true,false,true,,,103,2,3800,1006168,1004450009,MN22
52681889,Bedford Stuyvesant Family Health Center - Broadway Family Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,1238 Broadway,,Brooklyn,11221,40.6916186209,-73.92581367302,(718) 443-2428,You can find free safer sex products inside a dispenser/fishbowl located in the hallway of the Community Health Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,9:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 2:00 PM,9:00 AM - 1:00 PM,,true,true,true,,<a href=www.bsfhc.org>Visit this organization's website</a>,303,41,38700,3347167,3016180022,BK35
52682209,"The Campaign Against Hunger, Inc",Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"2010 Fulton Street,Ground Floor",,Brooklyn,11233,40.678635767428,-73.917676586359,718-773-3551 x,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,10:00 AM - 4:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 4:00 PM,10:00 AM - 6:00 PM,,,true,true,true,,,303,41,30100,3042111,3015490016,BK79
52682008,Friend's Tavern,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,78-11 Roosevelt Avenue,,Queens,11372,40.747267768978,-73.887441613737,718-792-6000,You can find free safer sex products inside a dispenser located in the front near entrance of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,true,false,true,,,403,25,28500,4029943,4012890042,QN28
52682184,Restivo,Free Safer Sex Products,Condoms and Lubricant,,Business,Restaurant,209 7 Avenue,,Manhattan,10011,40.743518671168,-73.996044729114,,You can find free safer sex products inside a fishbowl located on the front bar beside window of the Restaurant. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,104,3,9100,1014788,1007980001,MN13
52682226,Therapy,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,348 West 52 Street,,Manhattan,10019,40.764117380194,-73.98659627704,,You can find free safer sex products inside a dispenser located in the hallway as you walk in of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,5:00 PM - 2:00 AM,5:00 PM - 2:00 AM,5:00 PM - 2:00 AM,5:00 PM - 2:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 2:00 AM,true,false,true,,,104,3,13300,1025216,1010420051,MN15
52682124,Nasty Pig,Free Safer Sex Products,Condoms and Lubricant,,Business,Retail Store,259 West 19 Street,,Manhattan,10011,40.742404363211,-73.9992349422,718-782-4955,You can find free safer sex products inside a Fishbowl located in the back of the Retail Store. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,12:00 PM - 7:00 PM,true,false,true,,,104,3,8700,1013968,1007690007,MN13
52681941,COBROKE  REALTY LLC,Free Safer Sex Products,Condoms and Lubricant,,Business,Other,"705 EAST 214 STREET,n/a",,Bronx,10467,40.87969629275,-73.864557147487,7187088545,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,10:00 AM - 8:00 PM,,true,true,true,,,212,12,38000,2057854,2046620030,BX44
52681924,Bureau of General Services-Queer Division,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Community Center,"208 West 13 Street,Suite 210",,Manhattan,10011,40.738026466963,-74.000602623705,(646) 457-0859,You can find free safer sex products inside a fishbowl located in the front of the Community Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,1:00 PM - 7:00 PM,1:00 PM - 7:00 PM,1:00 PM - 7:00 PM,1:00 PM - 7:00 PM,1:00 PM - 7:00 PM,1:00 PM - 7:00 PM,true,false,false,,<a href=http://bgsqd.com/contac/>Visit this organization's website</a>,102,3,7700,1067571,1006170047,MN23
52682050,IFH - Urban Horizons Family Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Women's Center,"50 East 168 Street,Lower Level",,Bronx,10452,40.836718586397,-73.919290786763,(718) 293-3900,You can find free safer sex products inside a dispenser located near the main entrance of the Women's Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,8:30 AM - 8:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 8:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,,true,false,false,,<a href=http://www.institute.org/health-care/locations/bronx/>Visit this organization's website</a>,204,16,19700,2101464,2024800001,BX63
52682037,HASA Center #93 Staten Island,Free Safer Sex Products,Condoms and Lubricant,,Government,Community Center,207 Bay Street,,Staten Island,10301,40.636894618454,-74.076236634169,,You can find free safer sex products inside a dispenser located in the waiting room on the 2nd fl of the Community Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,501,49,2100,5013238,5004970009,SI37
52681865,Alibi Lounge,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,2376 Adam Clayton Powell Jr Boulevard,,Manhattan,0,0,0,,You can find free safer sex products inside a fishbowl located in the back of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,,,,,1,
